Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
Radio Nagar,Yes,,NGO,Ahmednagar,Maharashtra,2010,2011,40000,414003,90.4,"Marathi, Hindi","3, 4, 5, 8, 10",19.1174,74.72914,,
Yeralavani,Yes,,NGO,Sangli,Maharashtra,2011,,78000,416415,91.2,"Marathi, Kannada","3, 4, 5, 6, 8, 13",19.02771,72.86964,,
Radio Vishwas,Yes,,NGO,Nashik,Maharashtra,2012,2011,300000,422009,90.8,"Marathi, Hindi","3, 4, 5, 16",19.97454,73.76549,,
Radio MGM,,,EDU,Aurangabad,Maharashtra,,,200000,431003,90.8,"Marathi, Hindi","3, 4, 5, 6, 11, 13",19.913114,75.347048,,
Radio Vatsagulm,Yes,,NGO,Washim,Maharashtra,2015,,300000,444505,90.8,Marathi,"3, 4, 5, 15",20.28063,77.31366,,
Radio MGIRI,Yes,,NGO,Wardha,Maharashtra,,2013,45000,442001,90.4,"Marathi, Hindi","3, 4, 5, 9",20.688966,78.588795,,
Radio Terna,,,EDU,Osmanabad,Maharashtra,,,500000,413501,90.4,Marathi,"3, 4, 5, 10, 11, 12",18.150364,76.039191,,
Radio Wardha,,,NGO,Wardha,Maharashtra,2019,,500000,442001,90.8,"Marathi, Hindi","3, 4, 5, 6, 13",20.688966,78.588795,,
Radio Cotton City,,,EDU,Nagpur,Maharashtra,2019,,250000,444001,90.4,"Marathi, Hindi","3, 4, 5, 8",20.699648,77.016144,,
Radio Puneri Awaz,,,NGO,Pune,Maharashtra,2017,,50000,411017,107.8,"Marathi, Hindi, English","3, 4, 5, 8",18.60628,73.7834,,
Apna Nagpur,,,EDU,Nagpur,Maharashtra,2022,,,440001,90.8,"Marathi, Hindi, English","2, 4, 11",12.95198,78.25463,,
Radio Manbhavan,,,EDU,Jalgaon,Maharashtra,2022,,,425001,90.8,Marathi,"3, 4, 5, 10",21.02012,75.58183,,
Radio Deogiri,,,NGO,Aurangabad,Maharashtra,2022,,55000,431010,91.2,"Marathi, Hindi, English","2, 3, 4, 5, 6, 8, 15",19.86483,75.34999,,
Radio Sugar,,,NGO,Sangli,Maharashtra,2021,,10000,415414,90.8,Marathi,"4, 13",12.77301,78.71051,,
Radio Namkeen,,,NGO,Nashik,Maharashtra,2021,,150000,422003,91.2,"Marathi, Hindi, English","4, 5, 10, 16, 17",20.04163,73.92309,,
Radio Manbhavan,,,,,Maharashtra,2022,,500000,425001,90.8,Marathi,"3, 4, 5, 10",21.02012,75.58183,,
Infinity Community Radio,,,NGO,Pune,Maharashtra,2022,,6000,411044,90.4,"Marathi, Hindi, English","3, 5",18.65399,73.7743,,
Radio Silvercity,,,EDU,Akola,Maharashtra,2022,,190000,444303,89.6,"Marathi, Hindi","4, 5, 15",20.60058,76.81699,,
Radio Parbhani,,,NGO,Parbhani,Maharashtra,2020,,30000,431401,90.8,"Marathi, Hindi","4, 12",19.27852,76.76029,,
Radio Kokan,,,NGO,Ratnagiri,Maharashtra,2022,,,415605,90.4,"Marathi, Hindi, Local Languages","4, 5, 11, 13",17.38638,73.52887,,
Dnyanvani,Yes,,EDU,Mumbai,Maharashtra,2017,2006,,400706,90.4,"Marathi, Hindi, English","4, 5, 16",19.02235,73.02249,,
Radio Ranvara,,,EDU,Aurangabad,Maharashtra,2022,,300000,431001,89.6,Marathi,"1, 3, 4, 5, 6, 13",19.86761,75.34123,,
Guruwani Community Radio,,,EDU,,Maharashtra,2019,,200000,421301,90.8,"Marathi, Hindi, English","3, 4, 5, 6, 13, 16",19.26235,73.12291,,
Radio Mango,,,EDU,Kolhapur,Maharashtra,2022,,,416001,90.4,"Marathi, Hindi","4, 5, 11, 13",16.601162,74.147485,,
Dnyanvardhini Radio,,,EDU,Pune,Maharashtra,2023,,500000,413106,90.4,Marathi,"1, 3, 4, 5, 6, 13",18.15178,74.9548,,
Diamond Radio,,,NGO,Thoubal,Manipur,2017,,75000,795148,91.2,"Manipuri, English, Local Languages","3, 4, 15, 16",24.58997,94.02341,,
Radio FEEDS,,,NGO,Senapati,Manipur,2019,,40000,795129,91.2,"Manipuri, Thadou","4, 6, 8",25.18029,93.97847,,
Radio Nongin,,,NGO,Thoubal,Manipur,2020,,500000,795001,90.8,Meiteilon,"3, 4, 5, 12",28.53962,77.25911,,
Hills FM,,,NGO,Dimapur,Nagaland,2022,,,797112,90.8,"Hindi, English, Nagamese","3, 5, 13, 15",25.80462,93.7501,,
Radio Surabhi,,,NGO,Khordha,Odisha,2015,,100000,752091,90.4,"Odia, Hindi, English","3, 4, 5, 6, 8, 11, 13, 17",20.27873,84.71104,,
Radio Sanskar,Yes,,NGO,Jagatsinghpur,Odisha,2011,,70000,754103,91.2,Odia ,"4, 5, 6, 8, 12",20.10456,86.2014,,
Dhimsa Radio,,,NGO,Koraput,Odisha,2008,,160000,764020,90.4,"Odia, Local Language","3, 4, 5, 6, 8",18.78568,82.70709,,
Radio Kissan,Yes,,NGO,Khordha,Odisha,2012,,30000,752102,90.8,Odia ,"2, 12, 15",20.08991,85.99443,,
